IP origen        IP destino      Boca IN     Boca OUT        DG
192.168.0.200   192.168.0.11    C0A800C8    A30A0B50     no
192.168.0.70   192.168.0.12    C0A80046    A30A0B50     no
192.168.0.100   192.168.0.13    C0A80046    A30A0B50     no
192.168.0.30   192.168.0.14    A30A0B50    A30A0B50     no
192.168.0.10   192.168.0.15    A30A0B50    A30A0B50     no
192.168.0.15   192.168.0.16    A30A0B50    A30A0B50     no
192.168.0.16   192.168.0.17    A30A0B50    A30A0B50     no
192.168.0.200   192.168.0.11    C0A800C8    A30A0B50     no
192.168.0.70   192.168.0.12    C0A80046    A30A0B50     no
192.168.0.100   192.168.0.13    C0A80046    A30A0B50     no
192.168.0.30   192.168.0.14    A30A0B50    A30A0B50     no
192.168.0.16   192.168.0.17    A30A0B50    A30A0B50     no
192.168.0.200   192.168.0.11    C0A800C8    A30A0B50     no
192.168.0.70   192.168.0.12    C0A80046    A30A0B50     no
192.168.0.100   192.168.0.13    C0A80046    A30A0B50     no
192.168.0.30   192.168.0.14    A30A0B50    A30A0B50     no
192.168.0.10   192.168.0.15    A30A0B50    A30A0B50     no
192.168.0.15   192.168.0.16    A30A0B50    A30A0B50     no
192.168.0.16   192.168.0.250    A30A0B50    C0A800C8     si
192.168.0.200   192.168.0.11    C0A800C8    A30A0B50     no
192.168.0.70   192.168.0.12    C0A80046    A30A0B50     no
192.168.0.100   192.168.0.13    C0A80046    A30A0B50     no
192.168.0.30   192.168.0.14    A30A0B50    A30A0B50     no
192.168.0.10   192.168.0.15    A30A0B50    A30A0B50     no
192.168.0.15   192.168.0.16    A30A0B50    A30A0B50     no
192.168.0.16   192.168.0.17    A30A0B50    A30A0B50     no
